CPF,AveragePerformance,Área,Potencial Bruto,Raciocínio,Social,Motivacional,Cultura pontuação,atributo-Capacidade analítica,atributo-Pensamento conceitual,atributo-Reflexão,atributo-Pensamento criativo,atributo-Planejamento e organização,atributo-Comunicação,atributo-Consideração pelos outros,atributo-Influência,atributo-Sociabilidade,atributo-Facilitação,atributo-Flexibilidade,atributo-Estabilidade emocional,atributo-Ambição,atributo-Iniciativa,atributo-Assertividade,atributo-Tomada de riscos,perfil-Capacidade analítica,perfil-Pensamento conceitual,perfil-Reflexão,perfil-Pensamento criativo,perfil-Planejamento e organização,perfil-Comunicação,perfil-Consideração pelos outros,perfil-Influência,perfil-Sociabilidade,perfil-Facilitação,perfil-Flexibilidade,perfil-Estabilidade emocional,perfil-Ambição,perfil-Iniciativa,perfil-Assertividade,perfil-Tomada de riscos
129.540.376-52,2.0,Pessoas,,73.72,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047.821.956-31,1.75,Financeiro,59.07,73.54,73.87,15.19,49.36,87.39,70.92,77.74,67.51,70.92,50.79,64.43,89.26,78.06,85.85,67.83,22.8,6.06,2.65,36.43,17.99,78.32,46.5,55.59,41.95,46.5,19.23,37.41,82.86,55.59,73.77,41.95,60.14,19.23,10.14,78.32,51.05
435.082.961-13,1.75,Pessoas,,,,,70.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410.695.387-11,2.0,Operações,,58.52,,,58.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209.731.654-99,1.5,Logística,48.43,42.6,63.99,35.97,38.1,63.84,50.2,33.16,57.02,33.16,44.32,68.18,57.96,51.14,80.91,47.73,70.85,29.94,33.35,29.94,29.94,78.32,60.14,37.41,69.23,37.41,23.77,55.59,41.95,32.86,73.77,28.32,91.86,41.95,46.5,41.95,41.95
876.315.024-71,2.5,Logística,,82.84,,,68.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.460.831-39,2.5,Logística,67.03,78.27,54.12,67.14,47.8,81.23,75.65,65.42,79.05,81.23,58.31,37.85,54.9,58.31,24.22,71.94,57.7,80.78,80.78,54.29,57.7,55.59,46.5,32.86,51.05,55.59,55.59,28.32,51.05,55.59,10.14,73.77,37.41,69.23,69.23,32.86,37.41
238.490.617-87,1.75,Operações,50.72,46.87,50.82,56.75,55.37,30.61,30.61,44.24,47.65,37.42,51.61,65.24,37.97,51.61,61.83,68.65,57.54,30.26,37.08,67.76,80.7,28.32,28.32,46.5,51.05,37.41,51.05,69.23,32.86,51.05,64.68,73.77,51.05,14.68,23.77,64.68,82.86
132.605.489-98,2.5,Operações,50.42,64.49,40.95,41.17,40.49,51.63,55.04,55.04,81.16,61.86,31.5,12.12,72.41,69.0,17.23,38.32,19.04,65.82,38.54,48.77,31.73,32.86,37.41,37.41,73.77,46.5,37.41,7.44,90.56,87.41,14.68,46.5,19.23,82.86,46.5,60.14,37.41
840.712.963-13,2.0,Financeiro,51.99,38.52,63.99,56.75,47.83,25.67,25.67,42.71,16.02,35.89,86.02,68.18,61.37,86.02,47.73,64.78,40.49,60.95,64.36,60.95,50.72,32.86,32.86,55.59,14.68,46.5,87.41,55.59,46.5,87.41,28.32,51.05,28.32,55.59,60.14,55.59,41.95
923.640.157-15,1.0,Financeiro,36.41,35.24,34.36,41.17,69.29,39.43,39.43,29.21,22.39,25.8,59.01,41.96,38.56,59.01,19.05,48.78,19.04,41.95,52.18,28.32,52.18,55.59,55.59,41.95,32.86,37.41,82.86,60.14,55.59,82.86,28.32,69.23,19.23,51.05,64.68,32.86,64.68
970.463.128-69,2.5,Pessoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.754.683-75,2.0,Operações,59.81,45.08,63.99,77.53,43.8,42.46,79.96,25.41,39.05,39.05,84.32,57.96,71.59,86.02,54.55,61.37,47.63,64.68,71.5,82.57,80.86,46.5,91.86,23.77,41.95,41.95,82.86,41.95,60.14,87.41,37.41,46.5,10.14,32.86,41.95,60.14,55.59
356.172.498-19,1.75,Pessoas,36.84,57.93,24.49,20.39,52.23,48.49,72.35,38.26,75.76,62.12,28.68,21.86,38.91,19.23,14.11,28.68,10.36,31.4,24.58,24.58,17.18,37.41,69.23,23.77,73.77,55.59,55.59,46.5,69.23,41.95,28.32,55.59,23.77,64.68,55.59,55.59,41.95
297.605.318-95,1.75,Pessoas,,30.88,,,43.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583.106.279-12,1.75,Comercial,,77.2,,,86.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.895.721-95,1.5,Operações,,65.11,,,38.1,,,,,,,,,,,,,,,,,73.77,14.68,41.95,41.95,32.86,46.5,37.41,90.56,69.23,73.77,19.23,64.68,60.14,60.14,46.5,14.68
602.751.439-61,2.25,Pessoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036.194.728-31,2.0,Pessoas,54.71,47.82,57.41,61.95,48.19,69.06,52.01,28.15,17.26,58.83,65.01,61.6,51.37,68.42,68.42,47.96,85.0,49.1,81.59,49.1,55.91,78.32,55.59,23.77,8.74,64.68,60.14,55.59,41.95,64.68,64.68,37.41,87.41,32.86,78.32,32.86,41.95
340.172.895-41,1.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508.194.736-93,1.25,Pessoas,,52.99,,,52.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068.921.357-31,1.75,Operações,,21.19,,,24.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973.450.281-61,1.75,Comercial,45.03,47.78,40.95,46.36,51.36,48.56,31.52,48.56,48.56,55.38,15.52,48.55,58.78,51.96,45.14,28.09,60.78,36.92,64.19,60.78,36.92,51.05,28.32,51.05,51.05,60.14,10.14,60.14,73.77,64.68,55.59,32.86,69.23,37.41,73.77,69.23,37.41
589.640.172-85,2.25,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948.156.073-21,2.0,Financeiro,,65.22,,,60.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.564.087-67,2.25,Operações,,58.65,,,33.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346.259.870-83,1.75,Logística,51.86,47.56,60.7,46.36,53.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651.394.208-13,2.0,Comercial,,49.48,,,54.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.567.431-81,2.0,Logística,57.25,69.32,47.53,51.56,45.86,63.28,80.16,42.83,73.51,73.51,65.36,48.31,61.95,81.2,48.31,38.09,35.3,72.8,65.98,48.93,48.93,41.95,64.68,14.68,55.59,55.59,73.77,51.05,69.23,91.86,51.05,37.41,28.32,78.32,69.23,46.5,46.5
682.970.534-74,2.25,Financeiro,43.24,52.67,37.65,35.97,27.42,56.87,46.64,39.82,67.09,39.82,41.85,38.44,72.53,65.71,35.03,24.8,23.12,19.86,43.58,33.35,60.62,55.59,41.95,32.86,69.23,32.86,55.59,51.05,91.86,87.41,46.5,32.86,32.86,28.32,60.14,46.5,82.86
137.249.860-51,1.5,Logística,,65.36,,,67.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527.631.049-16,2.5,Operações,,65.89,,,63.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267.531.904-14,2.25,Comercial,57.54,65.73,21.19,95.34,70.56,56.28,86.89,59.69,88.6,49.46,17.58,14.17,35.61,17.58,7.35,14.17,72.26,100.0,100.0,86.36,88.06,37.41,87.41,41.95,90.56,28.32,41.95,32.86,69.23,41.95,14.68,32.86,19.23,82.86,87.41,46.5,51.05
637.294.015-99,2.5,Logística,51.89,61.3,37.65,56.75,26.24,84.68,68.9,58.68,27.99,58.68,38.44,41.85,35.03,55.48,65.71,24.8,85.81,54.13,54.13,33.67,37.08,87.41,60.14,46.5,8.74,46.5,51.05,55.59,46.5,73.77,87.41,32.86,91.86,46.5,46.5,19.23,23.77
470.218.539-12,1.5,Comercial,,46.48,,,61.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720.681.539-12,1.75,Operações,,38.86,,,37.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815.462.739-64,1.25,Comercial,,49.79,,,45.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564.203.719-61,2.0,Financeiro,,80.96,,,19.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386.495.170-48,2.5,Pessoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532.897.461-19,2.0,Financeiro,63.42,65.68,80.45,35.97,72.23,76.69,52.83,56.24,59.65,56.24,74.42,90.85,89.14,92.55,85.73,77.83,43.58,23.12,29.94,16.45,43.58,64.68,32.86,37.41,41.95,37.41,41.95,78.32,73.77,82.86,64.68,46.5,60.14,32.86,41.95,19.23,60.14
793.415.682-18,1.75,Logística,68.75,66.02,80.45,56.75,42.89,63.39,73.62,42.94,73.62,66.8,90.85,57.37,90.85,95.96,74.42,60.78,57.54,71.17,80.7,50.72,40.49,46.5,60.14,19.23,60.14,51.05,78.32,19.23,78.32,90.56,41.95,23.77,51.05,69.23,82.86,41.95,28.32
325.694.178-82,2.25,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.078.245-41,3.0,Comercial,67.49,88.41,47.53,61.95,97.23,88.01,86.3,58.51,98.23,75.56,44.91,34.68,81.2,65.36,18.82,51.72,45.69,86.71,76.37,66.14,66.14,60.14,55.59,10.14,87.41,32.86,46.5,32.86,91.86,73.77,10.14,55.59,28.32,90.56,69.23,55.59,55.59
781.256.093-77,2.25,Operações,34.9,44.06,31.07,25.58,53.97,41.44,44.85,38.03,41.44,58.48,25.04,28.44,48.9,45.49,28.44,28.44,29.78,29.78,12.96,33.19,16.37,46.5,51.05,41.95,46.5,69.23,41.95,46.5,73.77,69.23,46.5,46.5,55.59,55.59,23.77,60.14,32.86
529.078.634-11,1.75,Comercial,58.87,68.64,34.36,77.53,81.46,84.94,91.76,59.2,72.83,66.02,59.01,45.37,28.33,17.35,21.51,12.23,82.57,80.86,78.32,71.5,84.27,78.32,91.86,37.41,55.59,46.5,82.86,64.68,41.95,23.77,32.86,10.14,60.14,55.59,51.05,41.95,64.68
730.852.946-19,1.75,Logística,,,,,66.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984.730.561-75,2.0,Logística,61.13,72.88,50.82,56.75,57.62,83.65,81.95,66.85,60.03,77.07,31.15,41.38,51.61,44.79,68.65,31.15,84.11,57.54,40.49,47.31,47.31,69.23,64.68,41.95,32.86,55.59,23.77,37.41,51.05,41.95,73.77,23.77,90.56,51.05,28.32,37.41,37.41
354.978.061-39,1.5,Comercial,,49.42,,,44.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370.894.126-87,2.0,Financeiro,,75.93,,,63.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925.346.017-25,2.25,Comercial,,,,,41.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.975.064-15,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.480.791-97,2.0,Operações,76.66,63.42,83.74,87.92,82.27,50.57,64.2,57.39,57.39,53.98,83.97,80.56,90.79,67.48,70.89,85.67,78.48,99.69,96.28,78.48,58.02,32.86,51.05,41.95,41.95,37.41,55.59,46.5,73.77,28.32,32.86,60.14,37.41,90.56,82.86,37.41,10.14
546.890.721-67,1.25,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820.346.195-61,1.75,Comercial,68.55,79.9,63.99,56.75,64.6,70.46,67.05,63.64,53.42,77.28,82.62,71.59,51.14,75.0,61.37,82.62,57.54,57.54,64.36,47.31,64.36,37.41,32.86,28.32,14.68,46.5,78.32,60.14,32.86,64.68,46.5,78.32,51.05,51.05,60.14,37.41,60.14
169.430.587-21,2.3333333333333335,Financeiro,,88.68,,,61.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.493.785-23,2.5,Operações,65.6,75.78,63.99,51.56,32.56,90.22,73.16,76.57,69.75,83.4,64.78,61.37,64.78,54.55,75.0,51.14,55.75,55.75,62.57,62.57,38.71,82.86,46.5,51.05,41.95,64.68,51.05,46.5,51.05,37.41,64.68,32.86,55.59,55.59,64.68,64.68,32.86
836.240.175-35,2.25,Logística,64.0,64.56,57.41,72.34,21.96,68.75,72.16,44.89,78.98,55.11,51.37,61.6,44.56,65.01,37.74,78.65,81.67,86.79,73.12,56.08,81.67,55.59,60.14,23.77,69.23,37.41,41.95,55.59,32.86,60.14,23.77,78.32,64.68,78.32,51.05,28.32,64.68
128.640.953-51,2.0,Comercial,25.08,10.89,40.95,25.58,66.1,35.54,25.31,12.43,19.25,25.31,13.82,41.73,48.55,21.28,38.32,48.55,26.37,33.19,26.37,29.78,14.66,82.86,69.23,41.95,60.14,69.23,8.74,51.05,60.14,23.77,46.5,60.14,51.05,60.14,51.05,55.59,28.32
526.314.087-81,2.5,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568.713.024-17,2.0,Pessoas,45.13,10.89,57.41,82.73,92.74,19.25,15.84,17.54,10.72,19.25,44.56,58.19,65.01,61.6,47.96,58.19,80.05,59.65,63.06,76.69,81.76,60.14,51.05,55.59,37.41,60.14,32.86,51.05,60.14,55.59,37.41,51.05,46.5,19.23,23.77,41.95,51.05
752.980.641-67,3.0,Operações,,31.01,,,70.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965.387.102-12,1.5,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902.153.678-12,2.6666666666666665,Financeiro,72.0,76.28,70.58,67.14,62.4,90.46,60.02,73.66,80.24,66.84,61.13,54.31,61.13,64.54,71.36,67.95,80.78,54.29,64.52,47.47,61.11,82.86,28.32,46.5,55.59,37.41,37.41,28.32,37.41,41.95,51.05,46.5,69.23,32.86,46.5,23.77,41.95
036.941.258-33,2.25,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168.297.035-31,1.75,Logística,46.78,54.3,31.07,56.75,24.04,75.54,68.72,58.49,48.26,61.9,35.26,25.04,12.29,17.4,35.26,12.29,74.58,43.9,40.49,47.31,47.31,78.32,69.23,55.59,41.95,60.14,55.59,41.95,14.68,28.32,55.59,14.68,73.77,32.86,28.32,37.41,37.41
526.047.381-71,1.75,Comercial,61.32,77.67,31.07,77.53,63.31,71.63,71.63,75.04,89.45,75.04,59.13,17.4,21.63,19.11,14.0,31.85,87.68,82.57,89.39,47.63,61.27,41.95,41.95,46.5,78.32,46.5,87.41,28.32,37.41,32.86,19.23,51.05,73.77,60.14,78.32,10.14,28.32
725.690.481-94,1.25,Logística,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.931.470-13,2.5,Logística,59.83,54.87,63.99,61.95,73.73,76.11,62.47,45.43,45.43,59.06,51.14,61.37,61.37,71.59,57.96,54.55,66.14,79.78,76.37,55.91,49.1,78.32,60.14,37.41,37.41,55.59,32.86,46.5,46.5,60.14,41.95,37.41,55.59,73.77,69.23,41.95,32.86
610.548.237-15,2.25,Comercial,41.7,46.68,47.53,25.58,,61.1,44.06,44.06,50.87,37.24,61.95,44.91,31.27,48.31,48.31,31.27,40.0,22.96,50.23,14.66,9.55,69.23,46.5,46.5,55.59,37.41,69.23,46.5,28.32,51.05,51.05,28.32,69.23,46.5,82.86,28.32,14.68
796.354.012-99,2.3333333333333335,Comercial,,64.33,,,20.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853.920.476-29,2.0,Financeiro,,,,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640.981.357-11,1.5,Comercial,,55.53,,,48.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475.802.139-23,2.5,Operações,30.99,10.89,54.12,30.78,12.76,21.9,12.43,15.84,9.02,15.84,48.08,54.9,44.67,54.9,44.67,58.31,38.38,24.75,21.34,28.15,31.56,64.68,41.95,51.05,32.86,51.05,41.95,51.05,37.41,51.05,37.41,55.59,60.14,41.95,37.41,46.5,51.05
321.409.567-61,1.25,Logística,51.42,34.88,44.24,87.92,68.12,56.12,19.31,45.89,32.25,35.66,24.57,68.89,68.89,27.98,68.89,21.16,91.17,84.35,75.07,80.94,80.94,78.32,28.32,64.68,46.5,51.05,23.77,82.86,82.86,28.32,82.86,19.23,69.23,51.05,32.86,41.95,41.95
317.026.594-61,2.25,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832.967.410-11,2.25,Operações,,61.82,,,48.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410.896.325-33,2.5,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.672.530-71,2.0,Financeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568.930.241-42,2.25,Pessoas,,45.16,,,57.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.245.389-41,1.5,Operações,,64.22,,,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670.534.812-71,1.75,Pessoas,49.45,70.7,31.07,41.17,54.53,85.97,57.85,68.08,64.67,68.08,15.7,25.04,45.49,62.54,25.04,19.11,65.82,48.77,45.36,31.73,41.95,78.32,32.86,46.5,41.95,46.5,23.77,41.95,69.23,90.56,41.95,32.86,82.86,60.14,55.59,37.41,51.05
319.582.604-61,1.75,Financeiro,,66.13,,,47.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319.246.857-28,3.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432.981.560-51,2.0,Financeiro,,57.18,,,26.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832.145.706-17,2.25,Operações,73.02,60.08,77.16,87.92,31.34,80.66,64.27,37.0,57.45,71.09,71.13,71.13,80.68,84.09,64.31,77.94,89.47,80.94,86.06,84.35,75.07,78.32,55.59,19.23,46.5,64.68,41.95,41.95,55.59,64.68,32.86,51.05,64.68,41.95,55.59,51.05,32.86
856.739.204-74,1.75,Operações,62.63,64.37,57.41,67.14,64.06,61.75,65.15,44.7,51.52,71.97,65.01,47.96,82.73,82.73,47.96,65.01,64.52,71.34,57.7,74.75,61.11,46.5,51.05,23.77,32.86,60.14,60.14,37.41,87.41,87.41,37.41,60.14,46.5,55.59,37.41,60.14,41.95
914.763.520-71,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854.769.321-19,2.0,Financeiro,,55.74,,,74.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915.403.872-32,1.5,Logística,,64.77,,,52.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756.139.048-39,2.5,Logística,,,,,62.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958.731.624-17,2.5,Pessoas,43.15,49.52,11.32,77.53,38.59,57.12,33.26,53.71,60.53,33.26,16.05,10.94,17.76,29.15,10.94,5.82,91.09,85.98,80.86,64.68,78.32,60.14,28.32,55.59,64.68,28.32,51.05,37.41,55.59,73.77,37.41,23.77,82.86,69.23,55.59,32.86,51.05
470.823.691-31,2.3333333333333335,Financeiro,,54.42,,,75.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.908.671-13,2.25,Pessoas,,62.13,,,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543.068.217-91,2.0,Logística,41.25,45.92,50.82,20.39,37.1,22.84,33.06,43.29,22.84,33.06,75.47,78.88,44.79,68.65,61.83,58.43,31.4,15.47,17.18,15.47,24.58,19.23,32.86,46.5,19.23,32.86,82.86,87.41,41.95,73.77,64.68,60.14,64.68,37.41,41.95,37.41,55.59
478.163.925-91,2.0,Logística,,65.58,,,62.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734.850.962-29,2.0,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835.921.407-79,1.6666666666666667,Pessoas,71.28,74.12,67.28,72.34,64.47,80.86,84.27,74.91,74.91,61.27,68.07,61.25,82.56,74.89,47.61,78.3,83.38,85.08,73.12,66.3,69.71,60.14,69.23,51.05,51.05,32.86,51.05,41.95,73.77,60.14,23.77,64.68,69.23,73.77,51.05,41.95,46.5
835.271.690-59,1.75,Comercial,50.69,50.39,54.12,46.36,38.21,61.4,34.12,47.76,34.12,44.35,61.72,48.08,58.31,82.79,75.35,34.44,71.01,19.94,36.92,23.28,57.38,64.68,28.32,46.5,28.32,41.95,60.14,41.95,55.59,90.56,78.32,23.77,82.86,14.68,37.41,19.23,64.68
504.863.172-26,2.0,Financeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.148.305-33,2.0,Financeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529.167.408-31,1.75,Comercial,47.76,54.96,44.24,41.17,45.83,72.79,52.33,35.29,48.92,45.51,24.57,45.02,72.3,58.66,38.2,41.61,41.95,48.77,41.95,31.73,38.54,73.77,46.5,23.77,41.95,37.41,23.77,51.05,87.41,69.23,41.95,46.5,51.05,60.14,51.05,37.41,46.5
206.134.597-25,2.25,Operações,,46.82,,,32.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673.091.824-13,2.0,Operações,79.01,75.06,77.16,87.92,39.82,83.03,65.61,51.98,79.25,65.61,60.9,77.94,54.08,54.08,67.72,84.09,94.58,84.35,86.06,64.84,80.94,64.68,37.41,19.23,55.59,37.41,28.32,51.05,19.23,19.23,37.41,64.68,78.32,51.05,55.59,19.23,41.95
169.528.074-11,1.75,Logística,,67.81,,,81.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.692.478-64,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.683.205-35,2.0,Financeiro,,63.18,,,44.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986.324.075-38,1.75,Operações,56.16,62.25,37.65,72.34,76.81,73.26,59.63,52.81,45.99,69.85,21.39,31.62,41.85,21.39,38.44,35.03,76.53,88.49,86.79,69.71,49.26,64.68,46.5,37.41,28.32,60.14,28.32,41.95,55.59,28.32,51.05,46.5,55.59,82.86,78.32,46.5,19.23
029.156.843-24,2.25,Operações,53.72,69.5,40.95,46.36,56.18,81.96,80.25,56.64,73.69,80.25,28.09,45.14,31.5,38.32,31.5,21.28,57.38,77.83,60.78,40.33,30.1,69.23,64.68,32.86,55.59,64.68,32.86,55.59,37.41,46.5,37.41,23.77,64.68,90.56,69.23,41.95,28.32
031.284.796-31,2.25,Financeiro,,,,,39.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793.548.610-75,1.75,Financeiro,,66.68,,,63.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827.639.054-47,2.0,Pessoas,64.92,57.85,63.99,77.53,75.19,48.41,48.41,48.41,75.68,34.77,71.59,75.0,68.18,64.78,54.55,78.41,68.09,80.86,80.86,82.57,80.86,37.41,37.41,37.41,73.77,19.23,60.14,64.68,55.59,51.05,37.41,69.23,37.41,55.59,55.59,60.14,55.59
150.923.764-14,3.0,Operações,,66.16,,,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038.465.927-65,2.0,Financeiro,67.67,77.71,63.99,56.75,41.34,84.36,82.66,58.04,91.18,84.36,57.96,61.37,75.0,44.32,40.91,68.18,54.13,33.67,74.58,40.49,40.49,64.68,60.14,23.77,82.86,64.68,41.95,46.5,64.68,23.77,19.23,55.59,46.5,19.23,73.77,28.32,28.32
640.539.782-38,2.25,Logística,49.73,45.11,57.41,46.36,47.51,32.26,59.53,39.08,56.12,32.26,61.6,71.83,58.19,71.83,51.37,54.78,26.69,50.56,43.74,47.15,57.38,32.86,69.23,41.95,64.68,32.86,55.59,69.23,51.05,69.23,41.95,46.5,23.77,55.59,46.5,51.05,64.68
897.213.605-11,2.0,Pessoas,46.68,43.94,27.78,77.53,67.71,65.18,54.96,31.09,65.18,24.27,10.64,14.05,31.97,25.15,21.74,14.05,87.68,91.09,92.79,84.27,64.68,78.32,64.68,32.86,78.32,23.77,14.68,23.77,55.59,46.5,41.95,23.77,73.77,82.86,87.41,64.68,32.86
