CPF,Performance 1º/2019,Performance 2º/2018,Performance 1º/2018,Performance 2º 2017
470.823.691-31,,2,2,3
243.908.671-13,2,2,2,3
543.068.217-91,2,2,3,1
478.163.925-91,,,,2
734.850.962-29,2,2,3,1
835.921.407-79,,2,1,2
835.271.690-59,2,2,2,1
504.863.172-26,2,2,1,3
269.148.305-33,2,2,1,3
529.167.408-31,2,2,1,2
206.134.597-25,2,2,3,2
673.091.824-13,2,2,1,3
169.528.074-11,2,2,2,1
135.692.478-64,2,2,1,3
174.683.205-35,,2,1,3
986.324.075-38,2,2,2,1
029.156.843-24,2,2,2,3
031.284.796-31,2,2,2,3
793.548.610-75,2,2,1,2
827.639.054-47,,2,3,1
150.923.764-14,,,,3
038.465.927-65,2,2,1,3
640.539.782-38,2,2,2,3
897.213.605-11,,,,2
826.917.405-11,,,,3
948.570.612-11,2,1,1,1
874.095.162-67,,,,2
935.402.871-32,2,2,1,3
175.608.432-71,2,2,2,1
520.917.643-61,2,2,2,1
154.807.623-62,,,,1
726.540.193-14,1,2,1,1
891.562.473-46,2,2,2,2
430.218.657-71,2,2,2,3
254.139.867-18,,,,2
082.754.963-65,2,2,3,3
859.264.137-37,2,2,3,2
871.063.425-81,2,2,1,1
142.735.809-51,2,2,2,2
159.608.724-21,2,2,2,1
936.710.524-14,,,,2
206.387.915-11,2,2,3,2
705.123.694-61,,2,2,2
923.784.516-28,2,2,1,2
241.395.087-79,2,2,1,1
597.638.420-18,2,2,2,2
641.590.237-71,,,,2
138.072.654-91,2,2,2,3
735.680.219-86,1,2,1,1
912.307.485-12,2,2,2,1
546.271.380-16,2,2,1,2
257.031.948-14,2,1,1,1
380.517.624-44,,,,2
307.619.582-41,2,2,2,2
574.936.280-92,2,2,3,1
516.894.720-49,2,2,2,2
482.095.361-33,2,2,1,3
841.659.273-17,,,,3
592.107.368-77,2,2,3,1
805.273.164-15,2,2,3,2
081.697.345-84,2,2,2,3
126.094.738-69,2,2,3,1
614.308.725-35,,2,1,2
834.097.126-31,2,2,1,3
105.963.274-81,2,2,3,3
517.940.632-34,2,2,2,3
374.906.285-47,,,,3
503.267.481-81,2,2,2,1
684.720.915-11,2,2,2,2
516.784.023-62,2,2,3,2
218.043.659-98,,,,3
451.793.260-52,2,2,1,2
295.643.178-19,2,2,3,2
162.495.803-61,2,2,1,3
468.231.975-28,2,2,1,3
697.231.408-96,,,,1
206.514.798-94,2,2,1,2
952.430.718-97,2,2,2,3
583.491.260-51,2,2,1,1
014.679.352-81,,,,2
263.801.574-17,2,2,2,2
397.862.015-41,2,2,3,3
046.539.271-71,2,2,3,3
275.438.619-17,2,2,2,2
068.219.547-21,2,2,3,3
984.351.270-79,2,2,3,3
681.370.459-11,2,2,1,1
392.145.760-25,2,2,3,2
297.136.458-55,2,2,3,1
680.157.943-66,,2,2,3
056.389.712-11,,,,2
176.439.028-87,2,2,2,2
187.392.064-41,2,2,1,3
354.281.097-51,,,,2
417.286.309-41,1,2,1,1
136.897.245-46,2,2,2,1
506.179.283-12,2,2,3,3
982.013.645-89,,2,1,2
470.839.261-31,2,2,3,3
514.873.609-75,2,2,2,3
491.680.752-94,,2,1,3
794.835.610-19,2,2,2,1
682.794.015-21,2,2,2,1
640.183.957-11,2,2,1,1
820.649.175-94,,2,2,3
187.465.390-93,2,2,3,1
316.289.450-61,2,2,2,2
215.086.943-89,2,2,3,3
984.521.073-23,2,2,3,3
480.561.293-24,2,2,3,1
075.963.412-25,2,2,1,3
086.542.931-61,2,2,3,3
235.714.689-37,2,2,2,2
527.983.460-29,,,,3
928.704.136-96,2,2,1,3
806.752.493-92,2,2,3,2
891.435.067-39,2,2,2,1
259.783.604-56,2,2,2,1
510.368.279-68,2,2,3,1
862.904.375-18,2,2,2,1
896.403.217-96,,1,1,1
590.316.724-16,1,2,1,1
573.068.294-83,2,1,1,1
498.650.273-56,2,2,2,1
307.492.685-65,2,2,2,1
480.627.913-78,2,2,3,1
804.269.713-96,2,2,2,1
280.769.134-11,1,2,1,1
248.931.570-61,2,2,2,1
359.768.021-68,2,2,3,1
793.856.401-19,,2,2,1
678.913.254-64,2,2,3,1
283.415.076-17,,2,2,1
460.753.812-44,2,2,3,1
891.632.504-89,,,,1
105.924.687-21,2,2,2,1
032.894.517-12,2,2,3,1
721.835.694-17,2,2,1,1
092.751.643-81,2,2,2,1
862.715.934-37,,1,1,1
569.183.247-64,2,2,1,1
659.478.023-92,2,2,2,1
197.638.054-57,2,2,2,1
079.514.682-58,2,2,3,1
641.283.759-18,,2,2,1
137.589.204-51,2,2,3,1
031.298.467-78,2,2,2,1
413.608.297-51,2,2,3,1
350.628.974-83,2,2,3,1
718.356.204-26,2,2,2,1
410.857.369-21,,,,1
280.314.956-71,2,2,1,1
610.435.987-66,2,2,2,1
983.421.750-14,2,2,3,1
718.463.092-12,2,2,1,1
897.431.052-12,1,2,1,1
892.704.531-97,,1,1,1
571.839.246-37,2,2,3,1
354.860.127-81,2,2,2,1
412.980.576-21,,2,1,1
847.653.290-38,2,2,2,1
498.753.601-39,2,2,3,1
753.418.690-11,,2,3,1
047.615.983-11,2,2,3,1
371.426.985-19,,,,1
139.458.027-41,2,2,2,1
065.213.948-51,2,2,3,1
852.736.049-74,2,2,3,1
875.016.439-21,2,2,3,1
201.986.375-86,2,2,3,1
294.815.630-14,2,2,2,1
921.370.654-52,2,2,2,1
517.829.403-32,2,2,2,1
531.062.987-41,2,2,2,1
689.243.705-29,2,2,3,1
073.628.951-86,2,2,2,1
507.981.624-49,,2,3,1
295.673.804-65,2,2,1,1
843.956.102-42,2,2,2,1
951.870.324-88,2,2,3,1
430.128.679-96,2,2,2,1
362.785.049-11,,2,3,1
078.159.324-79,2,2,1,1
825.604.317-26,2,2,2,1
839.704.615-11,2,2,3,1
538.170.942-13,2,2,3,1
147.590.382-13,2,2,3,1
478.260.935-38,2,2,2,1
418.973.025-41,2,2,2,1
197.624.058-11,2,2,2,1
097.154.832-32,2,1,1,1
208.164.759-11,,,,1
249.716.358-82,2,2,2,1
574.602.138-53,2,2,2,1
341.952.678-46,2,2,3,1
379.821.560-11,2,2,3,1
208.163.975-11,2,2,3,1
079.123.865-21,2,2,2,1
209.756.831-95,1,2,1,1
416.083.592-98,2,2,2,1
173.854.920-88,2,2,2,1
142.869.507-94,2,2,1,1
943.261.580-42,2,2,3,1
716.934.085-21,2,1,1,1
902.365.841-89,2,2,2,1
142.793.685-46,2,2,1,1
719.523.860-12,2,2,2,1
715.630.298-12,2,2,3,1
824.956.103-15,2,2,2,1
490.526.381-61,2,2,3,1
687.935.421-19,2,2,1,1
748.590.316-11,2,2,2,1
236.541.908-98,2,2,3,1
632.850.491-89,2,2,3,1
280.143.695-13,1,2,1,1
456.137.082-15,2,2,3,1
409.671.583-21,2,2,2,1
306.298.547-18,,,,1
529.418.603-98,2,2,2,1
916.082.735-12,2,2,1,1
528.601.743-62,2,2,3,1
978.645.102-31,2,2,1,1
829.745.106-21,2,2,3,1
072.561.934-16,2,2,3,1
163.745.092-34,2,2,2,1
512.603.798-68,2,2,1,1
920.518.347-41,2,2,1,1
961.503.278-68,2,2,3,1
942.867.153-37,2,2,2,1
508.461.923-14,2,2,3,1
653.079.184-11,2,2,1,1
275.018.639-11,2,2,2,1
372.960.815-11,2,2,2,1
195.086.723-41,2,2,1,1
037.512.486-17,2,2,3,1
019.652.738-41,2,2,2,1
580.672.943-56,,,,1
518.760.492-94,2,2,2,1
872.195.034-23,2,2,3,1
901.723.584-51,2,2,1,1
087.631.459-11,2,2,3,1
729.648.503-56,2,1,1,1
857.043.169-48,2,2,2,1
249.730.816-12,2,2,2,1
964.103.287-96,1,2,1,1
156.720.483-15,2,2,2,1
670.213.495-99,2,2,1,1
426.508.179-76,2,2,2,1
078.349.156-57,2,2,3,1
734.289.561-17,2,2,2,1
316.247.859-64,2,2,3,1
982.450.763-92,2,2,2,1
839.014.567-75,2,2,2,
972.451.083-23,2,2,1,
059.124.376-81,2,2,1,
526.049.371-15,2,2,3,
357.462.980-18,2,2,3,
915.347.082-61,2,2,1,
702.185.493-51,2,2,2,
589.203.714-23,2,2,3,
871.630.549-39,2,2,2,
671.045.238-71,2,2,2,
743.128.569-82,2,2,3,
192.437.056-52,2,2,3,
763.921.048-87,2,2,2,
130.489.756-75,2,2,3,
359.628.074-56,2,2,1,
302.978.614-51,2,2,2,
930.587.642-19,,,,
973.801.654-11,2,2,1,
326.809.517-86,2,2,3,
719.650.482-85,2,2,2,
407.528.691-67,2,2,3,
958.143.260-42,2,2,3,
361.847.290-12,2,2,2,
813.247.065-62,2,2,3,
904.635.781-39,2,2,1,
102.597.483-23,2,2,2,
819.035.274-14,2,2,1,
716.529.408-21,2,2,2,
298.345.610-24,2,2,1,
498.312.075-13,2,2,2,
928.047.153-88,2,2,2,
614.780.329-87,2,2,3,
790.152.436-71,2,2,1,
876.915.304-39,2,2,3,
573.801.694-75,2,2,2,
650.749.182-94,2,2,1,
285.341.670-44,2,2,2,
017.926.584-94,2,2,1,
674.158.320-35,,,,
736.548.190-11,2,2,2,
360.129.485-14,2,2,2,
635.142.078-44,2,2,1,
854.236.071-16,2,2,1,
475.810.963-19,2,2,2,
831.976.405-19,2,2,2,
965.384.210-24,2,2,3,
398.657.140-19,2,2,3,
094.138.527-23,2,2,3,
091.824.673-31,2,2,3,
827.319.506-68,2,2,3,
620.749.518-76,2,2,3,
264.718.395-37,2,2,3,
806.175.423-17,2,2,3,
240.816.753-17,2,2,2,
097.831.562-68,2,2,2,
321.849.507-51,2,2,2,
365.489.217-55,2,2,1,
713.564.829-37,2,2,3,
471.290.635-99,2,2,2,
956.243.718-37,2,2,2,
065.749.281-76,2,2,3,
807.259.463-18,2,2,2,
082.751.693-21,2,2,3,
405.931.726-81,2,2,3,
489.623.501-14,,,,
716.942.805-94,2,2,3,
059.684.137-19,2,2,3,
045.369.712-71,2,2,3,
701.582.934-79,2,2,1,
630.248.175-91,2,2,1,
127.695.408-58,2,2,1,
235.861.407-62,2,2,3,
342.617.058-26,2,2,1,
460.731.829-96,2,2,1,
251.043.869-71,2,2,2,
539.107.842-32,2,2,1,
460.715.398-21,2,2,2,
549.387.120-32,2,2,1,
105.729.386-59,2,2,1,
596.437.201-52,2,2,2,
034.591.672-71,2,2,1,
509.483.627-74,2,2,3,
932.457.106-15,2,2,2,
561.380.742-62,2,2,1,
968.315.024-15,2,2,1,
160.732.459-81,2,2,1,
652.809.173-11,2,2,1,
205.784.369-65,2,2,1,
651.347.028-53,2,2,1,
271.594.380-61,2,2,1,
094.182.356-33,2,2,1,
537.240.918-51,2,2,1,
374.615.092-25,2,2,2,
391.276.804-87,2,2,1,
126.537.904-16,2,2,3,
164.937.250-71,,,,
631.597.842-82,2,2,3,
158.962.430-14,2,2,3,
039.681.725-41,2,2,3,
978.021.534-41,2,2,3,
160.897.325-59,2,2,1,
243.579.186-18,2,2,1,
278.953.014-97,2,2,1,
543.912.678-37,2,2,3,
360.985.741-21,2,2,2,
492.567.380-74,2,2,1,
849.107.236-51,2,2,1,
602.148.739-78,2,2,3,
523.946.108-24,2,2,3,
471.238.950-88,2,2,2,
139.260.784-13,2,2,1,
178.056.429-58,2,2,2,
893.617.024-41,2,2,3,
071.689.325-86,2,2,3,
647.823.501-71,2,2,2,
654.872.013-15,2,2,3,
987.103.564-11,2,2,3,
137.264.508-15,2,2,3,
695.130.874-84,2,2,2,
580.164.793-75,2,2,2,
049.135.278-61,2,2,2,
185.624.097-58,2,2,3,
247.058.163-15,2,2,3,
426.795.130-61,2,2,3,
741.036.298-78,2,2,1,
021.563.489-61,2,2,3,
145.832.967-46,2,2,3,
571.639.840-57,2,2,2,
914.025.387-23,2,2,3,
378.460.512-53,2,2,2,
486.790.235-74,2,2,2,
357.184.960-48,2,2,1,
768.031.925-12,2,2,2,
304.876.591-39,2,2,1,
182.706.934-13,2,2,2,
231.960.785-41,,,,
014.928.563-98,2,2,3,
065.923.187-59,2,2,1,
136.290.548-89,2,2,1,
975.380.416-48,2,2,1,
769.342.815-19,2,2,1,
768.394.015-11,2,2,1,
758.036.912-59,2,2,2,
597.230.418-12,2,2,2,
204.358.197-12,2,2,2,
402.976.158-58,2,2,3,
365.129.780-21,2,2,3,
562.983.740-19,2,2,3,
210.837.956-86,2,2,1,
032.574.186-71,2,2,1,
461.820.973-96,2,2,3,
278.530.614-71,2,2,1,
984.657.102-11,2,2,3,
681.294.730-11,2,2,3,
907.182.365-21,2,2,2,
927.465.381-64,2,2,3,
074.165.298-67,2,2,3,
532.694.081-71,2,2,1,
294.803.561-98,2,2,3,
028.379.564-65,2,2,1,
137.495.826-37,2,2,3,
815.743.296-18,2,2,1,
254.761.098-11,2,2,1,
729.014.658-11,2,2,3,
139.568.027-21,2,2,1,
384.216.570-62,2,2,1,
194.035.826-42,,,,
273.690.154-16,2,2,3,
056.481.293-51,2,2,3,
806.932.547-18,2,2,2,
047.165.382-91,2,2,2,
764.523.081-91,2,2,2,
186.350.294-71,2,2,3,
670.431.295-16,2,2,2,
593.012.864-24,2,2,3,
316.740.825-17,2,2,3,
213.968.750-77,2,2,3,
748.253.169-64,2,2,1,
932.140.587-97,2,2,3,
780.619.425-85,2,2,1,
843.567.012-16,2,2,1,
315.607.924-34,2,2,1,
617.453.208-91,2,2,3,
203.719.584-23,2,2,2,
148.960.275-58,2,2,1,
784.130.526-53,2,2,1,
587.961.423-91,2,2,2,
981.062.534-14,2,2,2,
205.678.431-91,,,,
130.952.874-88,2,2,3,
594.387.602-29,2,2,2,
320.671.458-35,2,2,1,
584.206.137-62,2,2,1,
689.375.201-68,2,2,1,
457.602.938-18,2,2,2,
247.198.035-12,2,2,3,
307.169.428-87,2,2,1,
705.498.216-94,2,2,2,
087.253.641-62,2,2,3,
298.163.457-73,2,2,3,
971.520.843-61,2,2,1,
253.987.164-17,2,2,3,
728.104.963-31,2,2,3,
749.023.568-56,2,2,1,
410.375.289-13,2,2,2,
469.135.280-51,2,2,3,
594.873.062-18,,,,
930.671.842-11,2,2,2,
867.592.034-29,2,2,2,
784.153.069-21,2,2,2,
581.027.693-86,2,2,3,
586.429.710-11,,,,
961.740.538-57,2,2,1,
249.316.587-17,2,2,1,
257.843.960-56,2,2,2,
795.063.241-15,2,2,2,
082.317.546-44,,,,
530.489.761-75,2,2,1,
361.457.089-48,2,2,3,
289.764.351-17,2,2,1,
602.317.589-95,2,2,3,
491.520.783-88,2,2,2,
729.104.863-11,2,2,1,
632.194.058-51,2,2,1,
146.073.825-15,2,2,3,
514.930.287-23,2,2,1,
742.310.986-11,2,2,1,
501.378.692-41,2,2,1,
067.935.182-59,2,2,1,
814.697.052-49,2,2,3,
902.753.418-79,2,2,1,
745.261.089-11,2,2,3,
973.658.140-39,2,2,3,
910.465.328-98,2,2,1,
354.609.127-25,2,2,1,
170.635.284-16,2,2,1,
910.743.658-11,2,2,1,
354.160.298-89,2,2,2,
938.041.725-12,2,2,1,
947.306.158-75,2,2,3,
268.491.307-22,2,2,2,
521.306.798-11,2,2,3,
619.537.248-17,,,,
157.903.842-51,2,2,3,
785.103.926-68,2,2,3,
941.736.850-84,2,2,1,
271.569.384-28,2,2,3,
637.158.920-21,2,2,3,
015.286.394-13,2,2,3,
701.594.862-11,2,2,3,
730.894.162-12,,,,
042.351.978-61,2,2,2,
356.148.297-17,2,2,3,
089.541.637-93,2,2,3,
527.138.694-55,2,2,3,
472.953.016-15,2,2,1,
035.791.826-68,2,2,2,
715.340.286-17,2,2,1,
145.037.628-26,2,2,1,
574.026.193-71,2,2,1,
741.962.503-43,2,2,1,
092.785.463-56,2,2,1,
796.432.518-37,2,2,1,
482.395.710-51,2,2,3,
217.589.063-59,2,2,3,
142.703.659-43,2,2,2,
056.928.147-49,2,2,1,
126.059.783-11,2,2,1,
738.659.214-18,2,2,1,
814.073.269-96,2,2,3,
503.127.468-91,2,2,2,
602.145.739-15,2,2,2,
809.364.712-12,2,2,3,
391.508.476-19,,,,
816.305.927-31,2,2,3,
345.982.160-42,2,2,3,
072.518.364-16,2,2,2,
725.381.946-28,2,2,3,
546.210.379-43,2,2,2,
715.230.864-16,2,2,3,
135.926.048-13,2,2,2,
759.286.104-67,2,2,2,
981.072.456-11,2,2,3,
682.371.059-41,2,2,2,
510.632.897-77,2,2,1,
749.051.263-81,2,2,2,
248.576.319-46,2,2,1,
396.087.241-12,2,2,1,
354.678.201-17,,,,
602.571.394-43,2,2,3,
057.892.461-76,2,2,2,
931.804.765-75,2,2,2,
046.325.197-15,2,2,2,
643.258.971-19,2,2,2,
690.274.385-11,2,2,3,
281.743.096-41,2,2,3,
865.241.309-61,2,2,2,
946.178.052-49,2,2,2,
935.821.406-61,2,2,2,
728.546.903-38,2,2,1,
597.401.368-93,2,2,2,
315.867.042-91,2,2,1,
935.620.871-95,2,2,2,
139.452.086-71,2,2,3,
856.972.314-82,2,2,3,
835.497.016-75,2,2,2,
165.398.074-57,2,2,1,
013.287.965-41,2,2,3,
326.541.790-52,2,2,3,
218.936.074-96,2,2,3,
907.153.628-95,2,2,1,
809.713.654-66,,,,
420.893.715-79,2,2,1,
852.691.340-98,2,2,3,
546.980.327-92,2,2,3,
618.029.743-69,2,2,3,
802.496.753-74,2,2,3,
940.861.723-13,2,2,1,
830.567.942-18,2,2,1,
387.209.146-87,2,2,1,
307.294.168-87,2,2,1,
302.714.956-34,2,2,2,
608.921.374-87,,,,
541.703.298-13,2,2,2,
605.931.724-34,2,2,3,
253.690.781-31,2,2,1,
604.289.735-74,2,2,1,
023.875.916-41,2,2,1,
849.106.357-93,2,2,1,
375.198.246-91,2,2,2,
719.634.502-99,2,2,3,
098.214.356-71,2,2,3,
819.326.704-41,2,2,3,
634.971.058-48,2,2,1,
073.589.216-41,2,2,2,
147.890.625-11,2,2,3,
698.145.207-31,2,2,3,
413.895.760-19,,,,
346.702.851-91,2,2,1,
613.948.502-98,2,2,1,
807.461.293-78,2,2,1,
381.572.460-16,2,2,2,
384.256.701-44,2,2,3,
042.698.715-21,2,2,2,
369.571.084-57,2,2,3,
015.379.462-34,2,2,1,
347.810.952-32,2,2,1,
162.354.097-61,2,2,1,
108.957.326-11,,,,
562.437.891-28,2,2,3,
014.586.237-26,2,2,2,
416.203.598-98,2,2,2,
890.572.613-59,2,2,2,
048.617.293-78,2,2,3,
217.590.634-52,2,2,2,
601.847.395-19,2,2,1,
408.379.261-22,2,2,3,
430.758.269-11,2,2,3,
743.560.289-29,2,2,3,
812.096.354-71,2,2,3,
783.162.945-91,,,,
483.162.975-82,2,2,1,
815.973.042-12,2,2,2,
761.890.325-59,2,2,3,
928.645.073-74,,,,
312.645.890-42,2,2,3,
835.724.906-18,2,2,3,
451.976.208-11,2,2,1,
037.124.689-11,2,2,3,
754.261.938-19,2,2,3,
783.250.419-61,2,2,3,
439.581.672-17,2,2,2,
260.754.913-25,2,2,1,
126.305.489-71,2,2,3,
834.071.295-13,2,2,3,
596.740.213-61,2,2,2,
950.147.683-93,2,2,1,
249.103.567-71,2,2,2,
904.286.371-41,2,2,2,
819.230.467-13,2,2,2,
471.598.620-58,2,2,1,
983.501.627-59,2,2,3,
063.851.492-42,2,2,1,
106.723.498-51,2,2,2,
731.586.402-44,2,2,2,
185.796.243-55,2,2,3,
514.892.603-15,,,,
263.180.495-33,2,2,3,
940.327.865-18,2,2,3,
482.593.710-14,2,2,1,
457.930.218-41,2,2,3,
605.749.832-11,2,2,3,
607.195.428-21,2,2,2,
734.169.058-57,2,2,1,
345.980.126-33,,,,
910.275.348-13,2,2,1,
725.964.381-19,2,2,3,
459.873.216-46,2,2,3,
067.429.153-15,,,,
915.847.263-18,2,2,1,
601.894.275-58,2,2,2,
724.309.186-51,2,2,2,
296.370.184-51,2,2,2,
813.790.265-12,,,,
329.840.157-97,2,2,1,
597.243.610-81,2,2,2,
418.762.509-76,2,2,3,
584.261.903-24,2,2,2,
304.629.517-15,2,2,3,
128.603.975-41,2,2,2,
841.652.930-24,2,2,1,
438.507.692-83,2,2,3,
945.260.781-58,2,2,3,
932.678.501-77,2,2,1,
613.827.905-11,2,2,3,
269.135.487-37,2,2,3,
804.572.369-65,2,2,1,
280.761.935-59,2,2,1,
239.871.506-11,2,2,2,
081.294.736-31,2,2,1,
562.403.879-83,2,2,2,
894.021.357-23,2,2,2,
395.280.617-11,2,2,3,
193.502.864-24,2,2,2,
483.560.921-24,2,2,1,
726.841.590-76,2,2,2,
075.968.241-11,2,2,1,
974.250.386-92,,,,
684.507.132-26,2,2,1,
780.516.943-84,2,2,2,
908.654.173-93,2,2,2,
379.845.610-11,2,2,2,
135.074.962-16,2,2,1,
208.741.956-67,2,2,1,
289.745.163-73,2,2,2,
435.129.687-91,2,2,3,
082.613.549-89,2,2,3,
801.765.243-71,2,2,2,
936.120.458-14,2,2,3,
348.715.609-11,2,2,2,
392.607.845-65,2,2,2,
283.746.095-83,2,2,3,
401.283.579-32,2,2,1,
896.735.102-11,2,2,2,
436.581.027-81,2,2,1,
285.130.649-98,2,2,3,
964.831.072-69,2,2,2,
023.741.986-69,2,2,1,
563.978.124-64,2,2,3,
036.478.921-22,2,2,3,
359.610.248-14,2,2,1,
847.613.029-51,2,2,3,
374.061.582-62,2,2,3,
630.721.495-34,2,2,1,
915.376.824-82,2,2,1,
768.315.920-41,2,2,1,
812.435.976-82,2,2,1,
018.237.964-78,2,2,2,
682.130.459-98,2,2,2,
782.965.314-37,2,2,3,
320.514.976-99,2,2,3,
730.516.248-53,2,2,1,
607.321.954-71,2,2,1,
016.489.527-21,2,2,2,
654.038.297-92,2,2,2,
635.489.720-47,2,2,2,
540.276.193-15,,,,
695.140.328-71,2,2,1,
063.487.195-11,2,2,2,
873.194.506-66,2,2,2,
835.769.210-95,2,2,1,
086.497.312-87,2,2,2,
786.109.532-11,2,2,3,
193.280.645-89,2,2,1,
071.465.829-49,2,2,2,
753.490.286-18,2,2,1,
946.531.087-57,2,2,3,
729.865.134-17,2,2,3,
591.682.043-71,2,2,2,
751.832.640-15,2,2,1,
275.941.368-37,2,2,2,
731.842.069-12,2,2,3,
781.093.456-21,2,2,1,
962.570.138-95,2,2,3,
518.260.437-81,2,2,2,
728.536.901-21,2,2,1,
795.842.016-11,2,2,2,
149.723.085-32,2,2,3,
703.529.186-59,2,2,3,
401.289.753-51,2,2,1,
563.728.914-17,2,2,2,
470.612.893-51,2,2,2,
712.968.053-95,2,2,3,
510.469.837-84,2,2,3,
524.986.371-17,2,2,2,
029.465.781-94,2,2,1,
078.916.324-13,2,2,1,
380.175.964-48,2,2,2,
893.621.075-11,2,2,3,
261.903.485-13,,,,
158.042.396-51,2,2,1,
479.582.301-41,2,2,1,
564.893.207-38,2,2,2,
789.340.512-13,2,2,1,
571.034.268-81,,,,
271.936.048-13,2,2,1,
634.590.178-48,2,2,3,
982.157.643-55,2,2,3,
824.190.356-15,2,2,2,
359.017.824-88,2,2,2,
035.281.964-24,2,2,1,
503.927.846-29,2,2,3,
651.470.892-76,2,2,1,
254.186.903-71,2,2,3,
364.591.078-66,2,2,1,
462.159.378-19,2,2,1,
706.451.298-11,2,2,2,
682.197.053-11,2,2,1,
804.162.795-11,2,2,2,
865.139.274-55,2,2,1,
382.651.947-73,2,2,2,
794.218.653-91,2,2,1,
901.638.475-84,2,2,3,
324.168.507-17,2,2,2,
971.685.042-58,2,2,1,
691.725.830-11,2,2,3,
807.596.314-84,2,2,1,
238.416.750-26,2,2,3,
032.615.748-44,2,2,3,
437.592.160-99,2,2,1,
679.084.132-69,,,,
518.327.964-18,2,2,3,
570.839.261-41,2,2,1,
976.482.031-11,2,2,1,
170.389.542-88,2,2,3,
762.149.358-55,2,2,3,
729.801.356-41,2,2,2,
182.547.936-46,2,2,3,
401.739.258-12,2,2,1,
647.501.928-31,2,2,1,
965.341.872-64,2,2,3,
942.357.106-99,2,2,2,
972.408.561-94,2,2,2,
071.985.436-93,2,2,1,
829.064.513-98,2,2,1,
641.702.895-11,2,2,3,
237.418.590-79,2,2,2,
849.125.730-61,2,2,2,
509.743.126-14,2,2,2,
851.209.364-15,2,2,2,
514.803.672-91,2,2,1,
324.798.015-61,2,2,3,
152.436.897-18,2,2,3,
745.290.138-12,,,,
436.185.029-15,2,2,2,
529.410.376-16,2,2,2,
120.594.783-32,,,,
317.648.052-16,2,2,2,
435.217.860-81,2,2,1,
031.968.724-41,2,3,1,
512.689.370-11,2,2,1,
365.409.281-14,2,1,1,
576.102.489-67,2,3,1,
950.472.618-67,2,1,3,
584.691.703-84,,,3,
